epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1905.26,0.94144,0.64608,1.01944,0.79689,0.92819,0.88962,0.59815,1.01242,0.73375,1.01523,0.000532994,0.000532994,0.000532994
126,1920.49,0.94222,0.64099,0.98417,0.80493,0.82411,0.83614,0.58071,0.98973,0.7161,1.00482,0.000531091,0.000531091,0.000531091
127,1935.72,0.95078,0.64848,0.97722,0.8224,0.88953,0.90884,0.58663,1.07938,0.71723,0.97773,0.000529187,0.000529187,0.000529187
128,1951.01,0.90251,0.61552,0.9733,0.81569,0.86931,0.88891,0.59987,1.01224,0.67857,0.96962,0.000527284,0.000527284,0.000527284
129,1966.35,0.92862,0.60648,0.98284,0.82303,0.87248,0.89362,0.60515,1.07227,0.69245,0.98892,0.000525381,0.000525381,0.000525381
130,1981.52,0.96008,0.65079,0.98239,0.81929,0.82876,0.89568,0.59474,1.03638,0.74577,0.96245,0.000523478,0.000523478,0.000523478
131,1996.56,0.88443,0.61056,0.94907,0.7992,0.86177,0.86666,0.59259,0.92878,0.6871,0.95124,0.000521574,0.000521574,0.000521574
132,2011.85,0.9256,0.60494,1.00424,0.81471,0.83689,0.86709,0.56216,1.01132,0.72414,0.9703,0.000519671,0.000519671,0.000519671
133,2026.98,0.92156,0.64315,0.99246,0.77114,0.87489,0.86231,0.58284,0.99984,0.71043,0.97347,0.000517768,0.000517768,0.000517768
134,2041.81,0.93829,0.6305,0.98729,0.81763,0.81974,0.85538,0.56905,1.01585,0.70237,0.95832,0.000515864,0.000515864,0.000515864
135,2057.47,0.91901,0.64855,0.99102,0.80185,0.93202,0.88011,0.5919,0.99331,0.69365,0.94842,0.000513961,0.000513961,0.000513961
136,2072.61,0.8551,0.5945,0.93419,0.85732,0.85159,0.91474,0.62978,0.96497,0.65617,0.96406,0.000512058,0.000512058,0.000512058
137,2087.7,0.91525,0.61407,0.96415,0.87066,0.86307,0.9126,0.61395,0.95122,0.64869,0.95765,0.000510155,0.000510155,0.000510155
138,2102.82,0.88701,0.59939,0.979,0.89972,0.80225,0.90421,0.54741,1.13197,0.69426,0.98414,0.000508251,0.000508251,0.000508251
139,2117.91,0.9041,0.61467,0.96654,0.88754,0.85234,0.94464,0.55897,1.26464,0.71381,1.03692,0.000506348,0.000506348,0.000506348
140,2133.65,0.89917,0.60908,0.9868,0.91524,0.83253,0.94329,0.55215,1.13337,0.67913,1.0252,0.000504445,0.000504445,0.000504445
141,2149.21,0.92929,0.6203,0.98045,0.91631,0.86628,0.94909,0.56026,1.14521,0.6718,1.04439,0.000502541,0.000502541,0.000502541
142,2165.14,0.89245,0.58351,0.98322,0.85995,0.89246,0.93111,0.54133,1.26073,0.67537,1.0566,0.000500638,0.000500638,0.000500638
143,2181.05,0.88542,0.58634,0.98932,0.83535,0.86111,0.89137,0.52293,1.27763,0.71036,1.03447,0.000498735,0.000498735,0.000498735
144,2197.02,0.93588,0.62687,0.98921,0.84771,0.86988,0.92384,0.61748,0.998,0.68235,0.96429,0.000496832,0.000496832,0.000496832
145,2211.94,0.90653,0.60494,0.96737,0.83794,0.89148,0.92201,0.60106,1.03207,0.66435,0.97012,0.000494928,0.000494928,0.000494928
146,2226.6,0.89823,0.60832,0.96897,0.84959,0.87783,0.90485,0.5884,1.02744,0.66124,0.97599,0.000493025,0.000493025,0.000493025
147,2241.27,0.89601,0.59655,0.94415,0.83439,0.88687,0.91627,0.59702,1.09663,0.67724,1.01566,0.000491122,0.000491122,0.000491122
148,2255.94,0.89236,0.58632,0.97376,0.81769,0.89579,0.91384,0.59606,1.08622,0.70489,1.01345,0.000489219,0.000489219,0.000489219
149,2270.64,0.85898,0.57742,0.95597,0.82781,0.92088,0.89964,0.58588,1.01482,0.68211,0.97812,0.000487315,0.000487315,0.000487315
150,2285.33,0.91177,0.59433,0.96606,0.82643,0.91962,0.8641,0.58433,1.02667,0.6943,0.9812,0.000485412,0.000485412,0.000485412
151,2300.05,0.93153,0.60969,0.96789,0.81022,0.87018,0.88739,0.63672,0.95405,0.71046,0.96494,0.000483509,0.000483509,0.000483509
152,2314.7,0.93835,0.61329,0.98071,0.88268,0.86299,0.9158,0.60836,0.98558,0.6728,0.96495,0.000481605,0.000481605,0.000481605
153,2329.38,0.86136,0.57183,0.94749,0.8462,0.90182,0.92069,0.63576,0.93389,0.70442,0.95966,0.000479702,0.000479702,0.000479702
154,2344.04,0.90656,0.62298,0.99547,0.87542,0.80569,0.89548,0.58318,1.02166,0.69826,0.98036,0.000477799,0.000477799,0.000477799
155,2358.83,0.90755,0.57713,0.94813,0.83912,0.87501,0.90464,0.6069,0.97663,0.66452,0.94861,0.000475896,0.000475896,0.000475896
156,2373.48,0.88012,0.57681,0.9548,0.86129,0.83363,0.90125,0.58282,1.01652,0.64658,0.95385,0.000473992,0.000473992,0.000473992
157,2388.27,0.86214,0.5895,0.95811,0.83161,0.88709,0.90512,0.57601,1.05636,0.69841,0.98019,0.000472089,0.000472089,0.000472089
158,2402.92,0.87945,0.59334,0.95196,0.82793,0.88227,0.8835,0.5554,1.10024,0.72042,0.9951,0.000470186,0.000470186,0.000470186
159,2417.63,0.88137,0.6226,0.96489,0.81301,0.89929,0.87649,0.58174,1.01993,0.67312,0.97643,0.000468283,0.000468283,0.000468283
160,2432.18,0.85254,0.56277,0.95148,0.81327,0.87808,0.89783,0.59951,0.98782,0.62476,0.94934,0.000466379,0.000466379,0.000466379
161,2446.99,0.89548,0.57568,0.96201,0.77251,0.96232,0.91999,0.60518,1.00231,0.63894,0.94528,0.000464476,0.000464476,0.000464476
162,2461.55,0.86682,0.60025,0.96065,0.80888,0.88419,0.8988,0.60995,0.96218,0.69028,0.93134,0.000462573,0.000462573,0.000462573
163,2476.33,0.86636,0.57893,0.92984,0.89378,0.9153,0.93625,0.62436,0.95692,0.65402,0.94445,0.000460669,0.000460669,0.000460669
164,2490.95,0.87035,0.58177,0.97056,0.91093,0.86808,0.90555,0.64411,0.9143,0.67253,0.95038,0.000458766,0.000458766,0.000458766
165,2505.71,0.86395,0.56165,0.95782,0.84637,0.85446,0.9086,0.6423,0.9506,0.72125,0.95554,0.000456863,0.000456863,0.000456863
166,2520.44,0.86759,0.57105,0.96321,0.9059,0.85412,0.92992,0.64604,0.92929,0.67934,0.9511,0.00045496,0.00045496,0.00045496
167,2535.09,0.89109,0.59131,0.98739,0.79969,0.91693,0.89684,0.60718,0.98907,0.65828,0.9605,0.000453056,0.000453056,0.000453056
168,2549.68,0.86511,0.56962,0.95093,0.83452,0.80629,0.86767,0.62691,0.91147,0.67489,0.9298,0.000451153,0.000451153,0.000451153
169,2564.36,0.85003,0.5525,0.9569,0.87652,0.90009,0.93313,0.64423,0.99705,0.68552,0.99904,0.00044925,0.00044925,0.00044925
170,2579.14,0.86231,0.56056,0.96984,0.8979,0.89197,0.93675,0.65947,0.96057,0.65882,0.99785,0.000447347,0.000447347,0.000447347
171,2593.87,0.89749,0.56691,0.96768,0.88173,0.88077,0.92146,0.64432,1.01981,0.62683,0.95998,0.000445443,0.000445443,0.000445443
172,2608.54,0.86679,0.57516,0.95863,0.81365,0.90333,0.88995,0.63222,0.92426,0.63564,0.92267,0.00044354,0.00044354,0.00044354
173,2623.27,0.80906,0.52713,0.94448,0.79764,0.9131,0.87429,0.63023,0.9699,0.63962,0.94913,0.000441637,0.000441637,0.000441637
174,2638.07,0.888,0.59125,0.9704,0.78712,0.9351,0.92871,0.65403,1.0495,0.69175,0.99002,0.000439733,0.000439733,0.000439733
175,2652.83,0.87041,0.55417,0.96816,0.94829,0.82872,0.90797,0.68207,0.9419,0.6474,0.97085,0.00043783,0.00043783,0.00043783
176,2667.56,0.86533,0.55417,0.95194,0.92399,0.8466,0.90256,0.65911,0.9489,0.6464,0.95138,0.000435927,0.000435927,0.000435927
177,2683.03,0.83425,0.54195,0.93097,0.88221,0.89752,0.91451,0.64044,0.982,0.66119,0.9682,0.000434024,0.000434024,0.000434024
178,2698.14,0.83542,0.54772,0.96112,0.91837,0.83423,0.91666,0.63062,1.04702,0.6284,0.98404,0.00043212,0.00043212,0.00043212
179,2713.81,0.85724,0.57279,0.95195,0.88295,0.86166,0.92249,0.63251,0.9975,0.63085,0.96295,0.000430217,0.000430217,0.000430217
